year,total_works,n_scopus,n_wos,n_medline,n_wos_after_deindex,n_scopus_after_deindex,n_medline_after_deindex,n_scopus_deindex,n_wos_deindex,n_medline_deindex,n_wos_journals,n_scopus_journals,n_medline_journals,n_journals,n_retracted,n_retracted_journals,n_paper_mill,n_paper_mill_journals,n_paper_mill_retracted,n_wos_paper_mill_journals,n_paper_mill_wos,n_scopus_paper_mill_journals,n_paper_mill_scopus,n_medline_paper_mill_journals,n_paper_mill_medline
1828,3304,2354,2294,2124,0,0,0,0,0,0,10,12,8,25,0,0,0,0,0,0,0,0,0,0,0
1829,3404,2228,2191,1995,0,0,0,0,0,0,10,11,7,26,0,0,0,0,0,0,0,0,0,0,0
1830,3479,1996,1952,1843,0,0,0,0,20,1,12,12,8,27,0,0,0,0,0,0,0,0,0,0,0
1831,3458,2185,2112,1780,0,0,0,0,0,0,9,11,7,25,0,0,0,0,0,0,0,0,0,0,0
1832,2959,2029,1684,1554,0,0,0,0,0,0,8,12,5,28,0,0,0,0,0,0,0,0,0,0,0
1833,3214,2115,1774,1515,0,0,0,0,1,1,10,13,6,31,0,0,0,0,0,0,0,0,0,0,0
1834,3581,2356,1927,1629,0,0,0,0,15,1,12,14,6,32,0,0,0,0,0,0,0,0,0,0,0
1835,3769,2543,2129,1828,0,0,0,0,0,0,12,16,6,33,0,0,0,0,0,0,0,0,0,0,0
1836,3699,2539,2120,1796,0,0,0,0,81,0,17,20,7,39,0,0,0,0,0,0,0,0,0,0,0
1837,4612,2745,2339,2023,0,0,0,0,43,1,17,20,6,41,0,0,0,0,0,0,0,0,0,0,0
1838,4204,2563,2248,2033,0,0,0,0,14,0,18,20,7,42,0,0,0,0,0,0,0,0,0,0,0
1839,4300,2720,2405,2144,0,0,0,0,47,2,17,21,8,44,0,0,0,0,0,0,0,0,0,0,0
1840,4733,2823,2770,2609,0,0,0,0,222,206,19,21,8,51,0,0,0,0,0,0,0,0,0,0,0
1841,5396,2827,2713,3050,0,0,0,1,270,234,22,25,8,56,0,0,0,0,0,0,0,0,0,0,0
1842,5770,2917,2854,3250,0,0,0,0,253,240,19,23,8,55,0,0,0,0,0,0,0,0,0,0,0
1843,5902,3039,2961,3230,0,0,0,0,226,199,21,23,8,55,0,0,0,0,0,0,0,0,0,0,0
1844,5894,3403,3228,3347,0,0,0,0,261,251,18,21,8,53,0,0,0,0,0,0,0,0,0,0,0
1845,6205,3428,3354,3441,0,0,0,0,221,204,23,25,12,58,0,0,0,0,0,0,0,0,0,0,0
1846,8256,5477,5393,5091,0,0,0,0,269,247,25,27,10,62,0,0,0,0,0,0,0,0,0,0,0
