PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30237958","Silver nanoparticles as antimicrobial therapeutics: current perspectives and future challenges","Prasher P, Singh M, Mudila H.","3 Biotech. 2018 Oct;8(10):411. doi: 10.1007/s13205-018-1436-3. Epub 2018 Sep 14.","Prasher P","3 Biotech","2018","2018/09/22","PMC6138003","","10.1007/s13205-018-1436-3"
"35164399","State of the Art on Green Route Synthesis of Gold/Silver Bimetallic Nanoparticles","Scala A, Neri G, Micale N, Cordaro M, Piperno A.","Molecules. 2022 Feb 8;27(3):1134. doi: 10.3390/molecules27031134.","Scala A","Molecules","2022","2022/02/15","PMC8839662","","10.3390/molecules27031134"
"37881701","Enhancing the antimicrobial activity of silver nanoparticles against ESKAPE bacteria and emerging fungal pathogens by using tea extracts","Raza S, Wdowiak M, Grotek M, Adamkiewicz W, Nikiforow K, Mente P, Paczesny J.","Nanoscale Adv. 2023 Aug 23;5(21):5786-5798. doi: 10.1039/d3na00220a. eCollection 2023 Oct 24.","Raza S","Nanoscale Adv","2023","2023/10/26","PMC10597549","","10.1039/d3na00220a"
"26220106","Green sonochemical synthesis of silver nanoparticles at varying concentrations of κ-carrageenan","Elsupikhe RF, Shameli K, Ahmad MB, Ibrahim NA, Zainudin N.","Nanoscale Res Lett. 2015 Dec;10(1):916. doi: 10.1186/s11671-015-0916-1. Epub 2015 Jul 28.","Elsupikhe RF","Nanoscale Res Lett","2015","2015/07/30","PMC4523502","","10.1186/s11671-015-0916-1"
"30168145","Antibacterial Effectiveness of Rice Water (Starch)-Capped Silver Nanoparticles Fabricated Rapidly in the Presence of Sunlight","Mathew S, Raveendran A, Mathew J, Radhakrishnan EK.","Photochem Photobiol. 2019 Mar;95(2):627-634. doi: 10.1111/php.13005. Epub 2018 Oct 9.","Mathew S","Photochem Photobiol","2019","2018/09/01","","","10.1111/php.13005"
"36678623","Terminalia arjuna, a Cardioprotective Herbal Medicine-Relevancy in the Modern Era of Pharmaceuticals and Green Nanomedicine-A Review","Ramesh P, Palaniappan A.","Pharmaceuticals (Basel). 2023 Jan 13;16(1):126. doi: 10.3390/ph16010126.","Ramesh P","Pharmaceuticals (Basel)","2023","2023/01/21","PMC9865560","","10.3390/ph16010126"
"37896228","Bio-Fabricated Silver Nanoparticles from the Leaf Extract of the Poisonous Plant, Holigarna arnottiana: Assessment of Antimicrobial, Antimitotic, Anticancer, and Radical-Scavenging Properties","Ajaykumar AP, Sabira O, Binitha VS, Varma SR, Mathew A, Jayaraj KN, Janish PA, Zeena KV, Sheena P, Venugopal V, Palakkapparambil P, Aswathi.","Pharmaceutics. 2023 Oct 15;15(10):2468. doi: 10.3390/pharmaceutics15102468.","Ajaykumar AP","Pharmaceutics","2023","2023/10/28","PMC10610394","","10.3390/pharmaceutics15102468"
"31649922","Investigation of the Antibacterial Activity and in vivo Cytotoxicity of Biogenic Silver Nanoparticles as Potent Therapeutics","Hossain MM, Polash SA, Takikawa M, Shubhra RD, Saha T, Islam Z, Hossain S, Hasan MA, Takeoka S, Sarker SR.","Front Bioeng Biotechnol. 2019 Oct 9;7:239. doi: 10.3389/fbioe.2019.00239. eCollection 2019.","Hossain MM","Front Bioeng Biotechnol","2019","2019/10/26","PMC6794407","","10.3389/fbioe.2019.00239"
"35448813","Eucalyptus globulus and Salvia officinalis Extracts Mediated Green Synthesis of Silver Nanoparticles and Their Application as an Antioxidant and Antimicrobial Agent","Balčiūnaitienė A, Liaudanskas M, Puzerytė V, Viškelis J, Janulis V, Viškelis P, Griškonis E, Jankauskaitė V.","Plants (Basel). 2022 Apr 15;11(8):1085. doi: 10.3390/plants11081085.","Balčiūnaitienė A","Plants (Basel)","2022","2022/04/21","PMC9026162","","10.3390/plants11081085"
"38052290","Chitosan-based topical formulation integrated with green-synthesized silver nanoparticles utilizing Camellia sinensis leaf extracts: A promising approach for managing infected wounds","Ahmad MZ, Saeed AM, Elnoubi OAE, Alasiri AS, Abdel-Wahab BA, Alqahtani AA, Pathak K, Saikia R, Kakoti BB, Das A.","Int J Biol Macromol. 2023 Dec 3;257(Pt 1):128573. doi: 10.1016/j.ijbiomac.2023.128573. Online ahead of print.","Ahmad MZ","Int J Biol Macromol","2023","2023/12/05","","","10.1016/j.ijbiomac.2023.128573"
"25458267","Green synthesis of the silver nanoparticles mediated by pullulan and 6-carboxypullulan","Coseri S, Spatareanu A, Sacarescu L, Rimbu C, Suteu D, Spirk S, Harabagiu V.","Carbohydr Polym. 2015 Feb 13;116:9-17. doi: 10.1016/j.carbpol.2014.06.008. Epub 2014 Jun 12.","Coseri S","Carbohydr Polym","2015","2014/12/03","","","10.1016/j.carbpol.2014.06.008"
"38113733","Biosynthesis of Ag(2)Se nanoparticles as a broad-spectrum antimicrobial agent with excellent biocompatibility","Ren QW, Wang Y, Qian J, Zhang XX, Cheng YY, Yu D, Lu L, Wang Y, He X, Mei H, Wu C.","J Hazard Mater. 2023 Dec 9;465:133201. doi: 10.1016/j.jhazmat.2023.133201. Online ahead of print.","Ren QW","J Hazard Mater","2023","2023/12/19","","","10.1016/j.jhazmat.2023.133201"
"31979282","In Vitro Antibacterial Activity of Biological-Derived Silver Nanoparticles: Preliminary Data","Meroni G, Soares Filipe JF, Martino PA.","Vet Sci. 2020 Jan 23;7(1):12. doi: 10.3390/vetsci7010012.","Meroni G","Vet Sci","2020","2020/01/26","PMC7157719","","10.3390/vetsci7010012"
"34443829","Green Synthesis of Silver Nanoparticles Using Diospyros malabarica Fruit Extract and Assessments of Their Antimicrobial, Anticancer and Catalytic Reduction of 4-Nitrophenol (4-NP)","Bharadwaj KK, Rabha B, Pati S, Choudhury BK, Sarkar T, Gogoi SK, Kakati N, Baishya D, Kari ZA, Edinur HA.","Nanomaterials (Basel). 2021 Aug 4;11(8):1999. doi: 10.3390/nano11081999.","Bharadwaj KK","Nanomaterials (Basel)","2021","2021/08/27","PMC8401075","","10.3390/nano11081999"
"34940551","""Green"" Biomaterials: The Promising Role of Honey","Bonsignore G, Patrone M, Martinotti S, Ranzato E.","J Funct Biomater. 2021 Dec 9;12(4):72. doi: 10.3390/jfb12040072.","Bonsignore G","J Funct Biomater","2021","2021/12/23","PMC8708775","","10.3390/jfb12040072"
"34685100","Valorization of Brewery Wastes for the Synthesis of Silver Nanocomposites Containing Orthophosphate","Sudagar AJ, Rangam NV, Ruszczak A, Borowicz P, Tóth J, Kövér L, Michałowska D, Roszko MŁ, Noworyta KR, Lesiak B.","Nanomaterials (Basel). 2021 Oct 10;11(10):2659. doi: 10.3390/nano11102659.","Sudagar AJ","Nanomaterials (Basel)","2021","2021/10/23","PMC8539218","","10.3390/nano11102659"
"33919801","Green Synthesis of Silver Nanoparticles with Antibacterial Activity Using Various Medicinal Plant Extracts: Morphology and Antibacterial Efficacy","Salayová A, Bedlovičová Z, Daneu N, Baláž M, Lukáčová Bujňáková Z, Balážová Ľ, Tkáčiková Ľ.","Nanomaterials (Basel). 2021 Apr 14;11(4):1005. doi: 10.3390/nano11041005.","Salayová A","Nanomaterials (Basel)","2021","2021/04/30","PMC8070782","","10.3390/nano11041005"
"28018705","Antioxidant and Antibacterial Potential of Silver Nanoparticles: Biogenic Synthesis Utilizing Apple Extract","Nagaich U, Gulati N, Chauhan S.","J Pharm (Cairo). 2016;2016:7141523. doi: 10.1155/2016/7141523. Epub 2016 Nov 28.","Nagaich U","J Pharm (Cairo)","2016","2016/12/27","PMC5150121","","10.1155/2016/7141523"
"37711107","Green synthesis of silver nanoparticles using Morinda citrifolia Linn leaf extract and its antioxidant, antibacterial and anticancer potential","Datkhile KD, Chakraborty S, Durgawale PP, Patil SR.","Pharm Nanotechnol. 2023 Sep 13. doi: 10.2174/2211738511666230913095001. Online ahead of print.","Datkhile KD","Pharm Nanotechnol","2023","2023/09/15","","","10.2174/2211738511666230913095001"
"34409277","Synthesis of silver nanoparticles using living electroactive biofilm protected by polydopamine","Liu Y, Zhu X, Zhao Q, Yan X, Du Q, Li N, Liao C, Wang X.","iScience. 2021 Jul 31;24(8):102933. doi: 10.1016/j.isci.2021.102933. eCollection 2021 Aug 20.","Liu Y","iScience","2021","2021/08/19","PMC8361215","","10.1016/j.isci.2021.102933"
"36304924","Potential use of gold-silver core-shell nanoparticles derived from Garcinia mangostana peel for anticancer compound, protocatechuic acid delivery","Lee KX, Shameli K, Nagao Y, Yew YP, Teow SY, Moeini H.","Front Mol Biosci. 2022 Oct 11;9:997471. doi: 10.3389/fmolb.2022.997471. eCollection 2022.","Lee KX","Front Mol Biosci","2022","2022/10/28","PMC9593088","","10.3389/fmolb.2022.997471"
"34578634","The Recent Progress on Silver Nanoparticles: Synthesis and Electronic Applications","Bouafia A, Laouini SE, Ahmed ASA, Soldatov AV, Algarni H, Feng Chong K, Ali GAM.","Nanomaterials (Basel). 2021 Sep 6;11(9):2318. doi: 10.3390/nano11092318.","Bouafia A","Nanomaterials (Basel)","2021","2021/09/28","PMC8467496","","10.3390/nano11092318"
"36080002","Nematicidal Potential of Green Silver Nanoparticles Synthesized Using Aqueous Root Extract of Glycyrrhiza glabra","Rani K, Devi N, Banakar P, Kharb P, Kaushik P.","Nanomaterials (Basel). 2022 Aug 27;12(17):2966. doi: 10.3390/nano12172966.","Rani K","Nanomaterials (Basel)","2022","2022/09/09","PMC9458125","","10.3390/nano12172966"
